left_index,right_index,left_ns,right_ns,elapsed_ns,signed_delta_ns,absolute_delta_ns,left_interval_ns,right_interval_ns,within_0_5_ms,within_2_ms
2417,2417,1789458654782824000,1789458654782757000,80618091000,67000,67000,33368000,33368000,True,True
2418,2418,1789458654816194000,1789458654816127000,80651461000,67000,67000,33370000,33370000,True,True
2419,2419,1789458654849562000,1789458654849497000,80684829000,65000,65000,33368000,33370000,True,True
2420,2420,1789458654882932000,1789458654882867000,80718199000,65000,65000,33370000,33370000,True,True
2421,2421,1789458654916301000,1789458654916236000,80751568000,65000,65000,33369000,33369000,True,True
2422,2422,1789458654949670000,1789458654949605000,80784937000,65000,65000,33369000,33369000,True,True
2423,2423,1789458654983039000,1789458654982976000,80818306000,63000,63000,33369000,33371000,True,True
2424,2424,1789458655016408000,1789458655016345000,80851675000,63000,63000,33369000,33369000,True,True
2425,2425,1789458655049778000,1789458655049715000,80885045000,63000,63000,33370000,33370000,True,True
2426,2426,1789458655083150000,1789458655083087000,80918417000,63000,63000,33372000,33372000,True,True
2427,2427,1789458655116519000,1789458655116455000,80951786000,64000,64000,33369000,33368000,True,True
2428,2428,1789458655149888000,1789458655149826000,80985155000,62000,62000,33369000,33371000,True,True
2429,2429,1789458655183257000,1789458655183196000,81018524000,61000,61000,33369000,33370000,True,True
2430,2430,1789458655216631000,1789458655216565000,81051898000,66000,66000,33374000,33369000,True,True
2431,2431,1789458655249999000,1789458655249935000,81085266000,64000,64000,33368000,33370000,True,True
2432,2432,1789458655283370000,1789458655283305000,81118637000,65000,65000,33371000,33370000,True,True
2433,2433,1789458655316740000,1789458655316675000,81152007000,65000,65000,33370000,33370000,True,True
2434,2434,1789458655350108000,1789458655350044000,81185375000,64000,64000,33368000,33369000,True,True
2435,2435,1789458655383478000,1789458655383414000,81218745000,64000,64000,33370000,33370000,True,True
2436,2436,1789458655416848000,1789458655416784000,81252115000,64000,64000,33370000,33370000,True,True
2437,2437,1789458655450217000,1789458655450154000,81285484000,63000,63000,33369000,33370000,True,True
2438,2438,1789458655483586000,1789458655483524000,81318853000,62000,62000,33369000,33370000,True,True
2439,2439,1789458655516954000,1789458655516893000,81352221000,61000,61000,33368000,33369000,True,True
2440,2440,1789458655550323000,1789458655550264000,81385590000,59000,59000,33369000,33371000,True,True
2441,2441,1789458655583692000,1789458655583632000,81418959000,60000,60000,33369000,33368000,True,True
2442,2442,1789458655617061000,1789458655617002000,81452328000,59000,59000,33369000,33370000,True,True
2443,2443,1789458655650432000,1789458655650372000,81485699000,60000,60000,33371000,33370000,True,True
2444,2444,1789458655683800000,1789458655683741000,81519067000,59000,59000,33368000,33369000,True,True
2445,2445,1789458655717170000,1789458655717110000,81552437000,60000,60000,33370000,33369000,True,True
2446,2446,1789458655750538000,1789458655750479000,81585805000,59000,59000,33368000,33369000,True,True
2447,2447,1789458655783908000,1789458655783849000,81619175000,59000,59000,33370000,33370000,True,True
2448,2448,1789458655817277000,1789458655817219000,81652544000,58000,58000,33369000,33370000,True,True
2449,2449,1789458655850649000,1789458655850588000,81685916000,61000,61000,33372000,33369000,True,True
2450,2450,1789458655884022000,1789458655883959000,81719289000,63000,63000,33373000,33371000,True,True
2451,2451,1789458655917390000,1789458655917328000,81752657000,62000,62000,33368000,33369000,True,True
2452,2452,1789458655950763000,1789458655950700000,81786030000,63000,63000,33373000,33372000,True,True
2453,2453,1789458655984132000,1789458655984070000,81819399000,62000,62000,33369000,33370000,True,True
2454,2454,1789458656017500000,1789458656017439000,81852767000,61000,61000,33368000,33369000,True,True
2455,2455,1789458656050871000,1789458656050810000,81886138000,61000,61000,33371000,33371000,True,True
2456,2456,1789458656084239000,1789458656084179000,81919506000,60000,60000,33368000,33369000,True,True
2457,2457,1789458656117612000,1789458656117550000,81952879000,62000,62000,33373000,33371000,True,True
2458,2458,1789458656150981000,1789458656150920000,81986248000,61000,61000,33369000,33370000,True,True
2459,2459,1789458656184349000,1789458656184291000,82019616000,58000,58000,33368000,33371000,True,True
2460,2460,1789458656217719000,1789458656217660000,82052986000,59000,59000,33370000,33369000,True,True
2461,2461,1789458656251088000,1789458656251029000,82086355000,59000,59000,33369000,33369000,True,True
2462,2462,1789458656284458000,1789458656284400000,82119725000,58000,58000,33370000,33371000,True,True
2463,2463,1789458656317828000,1789458656317770000,82153095000,58000,58000,33370000,33370000,True,True
2464,2464,1789458656351198000,1789458656351141000,82186465000,57000,57000,33370000,33371000,True,True
2465,2465,1789458656384571000,1789458656384511000,82219838000,60000,60000,33373000,33370000,True,True
2466,2466,1789458656417942000,1789458656417882000,82253209000,60000,60000,33371000,33371000,True,True
2467,2467,1789458656451312000,1789458656451252000,82286579000,60000,60000,33370000,33370000,True,True
2468,2468,1789458656484682000,1789458656484622000,82319949000,60000,60000,33370000,33370000,True,True
2469,2469,1789458656518051000,1789458656517993000,82353318000,58000,58000,33369000,33371000,True,True
2470,2470,1789458656551424000,1789458656551362000,82386691000,62000,62000,33373000,33369000,True,True
2471,2471,1789458656584794000,1789458656584733000,82420061000,61000,61000,33370000,33371000,True,True
2472,2472,1789458656618163000,1789458656618102000,82453430000,61000,61000,33369000,33369000,True,True
2473,2473,1789458656651532000,1789458656651471000,82486799000,61000,61000,33369000,33369000,True,True
2474,2474,1789458656684903000,1789458656684841000,82520170000,62000,62000,33371000,33370000,True,True
2475,2475,1789458656718274000,1789458656718211000,82553541000,63000,63000,33371000,33370000,True,True
2476,2476,1789458656751641000,1789458656751581000,82586908000,60000,60000,33367000,33370000,True,True
2477,2477,1789458656785013000,1789458656784952000,82620280000,61000,61000,33372000,33371000,True,True
2478,2478,1789458656818380000,1789458656818321000,82653647000,59000,59000,33367000,33369000,True,True
2479,2479,1789458656851750000,1789458656851691000,82687017000,59000,59000,33370000,33370000,True,True
2480,2480,1789458656885120000,1789458656885061000,82720387000,59000,59000,33370000,33370000,True,True
2481,2481,1789458656918488000,1789458656918429000,82753755000,59000,59000,33368000,33368000,True,True
2482,2482,1789458656951857000,1789458656951799000,82787124000,58000,58000,33369000,33370000,True,True
2483,2483,1789458656985227000,1789458656985169000,82820494000,58000,58000,33370000,33370000,True,True
2484,2484,1789458657018596000,1789458657018539000,82853863000,57000,57000,33369000,33370000,True,True
2485,2485,1789458657051966000,1789458657051909000,82887233000,57000,57000,33370000,33370000,True,True
2486,2486,1789458657085336000,1789458657085278000,82920603000,58000,58000,33370000,33369000,True,True
2487,2487,1789458657118705000,1789458657118648000,82953972000,57000,57000,33369000,33370000,True,True
2488,2488,1789458657152073000,1789458657152018000,82987340000,55000,55000,33368000,33370000,True,True
2489,2489,1789458657185443000,1789458657185387000,83020710000,56000,56000,33370000,33369000,True,True
2490,2490,1789458657218812000,1789458657218757000,83054079000,55000,55000,33369000,33370000,True,True
2491,2491,1789458657252181000,1789458657252125000,83087448000,56000,56000,33369000,33368000,True,True
2492,2492,1789458657285550000,1789458657285496000,83120817000,54000,54000,33369000,33371000,True,True
2493,2493,1789458657318921000,1789458657318866000,83154188000,55000,55000,33371000,33370000,True,True
2494,2494,1789458657352293000,1789458657352239000,83187560000,54000,54000,33372000,33373000,True,True
2495,2495,1789458657385663000,1789458657385608000,83220930000,55000,55000,33370000,33369000,True,True
2496,2496,1789458657419032000,1789458657418977000,83254299000,55000,55000,33369000,33369000,True,True
2497,2497,1789458657452402000,1789458657452348000,83287669000,54000,54000,33370000,33371000,True,True
2498,2498,1789458657485770000,1789458657485716000,83321037000,54000,54000,33368000,33368000,True,True
2499,2499,1789458657519140000,1789458657519086000,83354407000,54000,54000,33370000,33370000,True,True
2500,2500,1789458657552510000,1789458657552456000,83387777000,54000,54000,33370000,33370000,True,True
2501,2501,1789458657585880000,1789458657585825000,83421147000,55000,55000,33370000,33369000,True,True
2502,2502,1789458657619250000,1789458657619196000,83454517000,54000,54000,33370000,33371000,True,True
2503,2503,1789458657652618000,1789458657652565000,83487885000,53000,53000,33368000,33369000,True,True
2504,2504,1789458657685988000,1789458657685935000,83521255000,53000,53000,33370000,33370000,True,True
2505,2505,1789458657719356000,1789458657719305000,83554623000,51000,51000,33368000,33370000,True,True
2506,2506,1789458657752726000,1789458657752674000,83587993000,52000,52000,33370000,33369000,True,True
2507,2507,1789458657786095000,1789458657786044000,83621362000,51000,51000,33369000,33370000,True,True
2508,2508,1789458657819463000,1789458657819412000,83654730000,51000,51000,33368000,33368000,True,True
2509,2509,1789458657852833000,1789458657852783000,83688100000,50000,50000,33370000,33371000,True,True
